Problem	Run	Gene	Fitness	Operators	NGenerations	PopSize	Generation	Accuracy	Size	Depth
data/p4.txt	1	g0	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.721311	7	5
data/p4.txt	1	g0	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	2	0.852459	6	4
data/p4.txt	1	g0	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	3	0.868852	3	2
data/p4.txt	1	g0	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	6	0.967213	8	4
data/p4.txt	1	g0	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	7	0.967213	7	4
data/p4.txt	1	g0	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	8	0.967213	1	1
data/p4.txt	1	g1	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.934426	3	2
data/p4.txt	1	g1	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	2	0.950820	7	4
data/p4.txt	1	g1	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	17	0.950820	3	2
data/p4.txt	1	g2	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.885246	2	2
data/p4.txt	1	g2	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	2	0.901639	10	4
data/p4.txt	1	g2	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	4	0.901639	9	5
data/p4.txt	1	g2	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	7	0.901639	3	2
data/p4.txt	1	g3	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.950820	3	3
data/p4.txt	1	g3	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	14	0.950820	1	1
data/p4.txt	1	g4	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.819672	3	2
data/p4.txt	1	g4	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	5	0.885246	1	1
data/p4.txt	1	g4	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	30	0.901639	3	2
data/p4.txt	1	g5	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.918033	2	2
data/p4.txt	1	g5	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	2	0.934426	7	3
data/p4.txt	1	g5	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	3	0.950820	3	2
data/p4.txt	1	g6	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.803279	7	4
data/p4.txt	1	g6	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	2	0.868852	1	1
data/p4.txt	1	g7	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.754098	6	4
data/p4.txt	1	g7	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	3	0.754098	3	3
data/p4.txt	1	g7	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	4	0.770492	3	2
data/p4.txt	1	g7	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	34	0.819672	3	2
data/p4.txt	1	g8	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	1.000000	3	2
data/p4.txt	1	g8	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	11	1.000000	1	1
data/p4.txt	1	g9	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.885246	2	2
data/p4.txt	1	g9	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	7	0.901639	8	5
data/p4.txt	1	g9	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	8	0.901639	4	3
data/p4.txt	1	g9	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	24	0.901639	3	2
data/p4.txt	1	g9	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	31	0.918033	4	3
data/p4.txt	1	g10	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	1	0.983607	6	4
data/p4.txt	1	g10	type=Subsumption,minAccuracy=1.0,maxLoss=0.0		50	256	8	0.983607	3	2
